BreedID,Type,BreedName,,,,,Breed1,Breed2,,,Breed
1,1,Affenpinscher,,,,,299,0,,,299
2,1,Afghan Hound,,,,,265,0,,,265
3,1,Airedale Terrier,,,,,307,0,,,307
4,1,Akbash,,,,,307,0,,,307
5,1,Akita,,,,,307,0,,,307
6,1,Alaskan Malamute,,,,,266,0,,,266
7,1,American Bulldog,,,,,264,264,,,264
8,1,American Eskimo Dog,,,,,307,0,,,307
9,1,American Hairless Terrier,,,,,265,0,,,265
10,1,American Staffordshire Terrier,,,,,265,0,,,265
11,1,American Water Spaniel,,,,,307,0,,,307
12,1,Anatolian Shepherd,,,,,264,0,,,264
13,1,Appenzell Mountain Dog,,,,,307,0,,,307
14,1,Australian Cattle Dog/Blue Heeler,,,,,265,0,,,265
15,1,Australian Kelpie,,,,,307,0,,,307
16,1,Australian Shepherd,,,,,218,205,,,
17,1,Australian Terrier,,,,,266,0,,,
18,1,Basenji,,,,,307,307,,,
19,1,Basset Hound,,,,,307,0,,,
20,1,Beagle,,,,,266,0,,,
21,1,Bearded Collie,,,,,307,0,,,
22,1,Beauceron,,,,,307,0,,,
23,1,Bedlington Terrier,,,,,114,0,,,
24,1,Belgian Shepherd Dog Sheepdog,,,,,307,117,,,
25,1,Belgian Shepherd Laekenois,,,,,266,0,,,
26,1,Belgian Shepherd Malinois,,,,,285,251,,,
27,1,Belgian Shepherd Tervuren,,,,,285,265,,,
28,1,Bernese Mountain Dog,,,,,266,0,,,
29,1,Bichon Frise,,,,,189,0,,,
30,1,Black and Tan Coonhound,,,,,266,0,,,
31,1,Black Labrador Retriever,,,,,205,218,,,
32,1,Black Mouth Cur,,,,,266,0,,,
33,1,Black Russian Terrier,,,,,307,0,,,
34,1,Bloodhound,,,,,266,0,,,
35,1,Blue Lacy,,,,,266,0,,,
36,1,Bluetick Coonhound,,,,,264,0,,,
37,1,Boerboel,,,,,265,292,,,
38,1,Bolognese,,,,,265,0,,,
39,1,Border Collie,,,,,307,0,,,
40,1,Border Terrier,,,,,307,0,,,
41,1,Borzoi,,,,,265,266,,,
42,1,Boston Terrier,,,,,266,0,,,
43,1,Bouvier des Flanders,,,,,292,285,,,
44,1,Boxer,,,,,128,307,,,
45,1,Boykin Spaniel,,,,,307,0,,,
46,1,Briard,,,,,307,0,,,
47,1,Brittany Spaniel,,,,,265,0,,,
48,1,Brussels Griffon,,,,,307,0,,,
49,1,Bull Terrier,,,,,307,0,,,
50,1,Bullmastiff,,,,,264,0,,,
51,1,Cairn Terrier,,,,,307,141,,,
52,1,Canaan Dog,,,,,266,0,,,
53,1,Cane Corso Mastiff,,,,,307,0,,,
54,1,Carolina Dog,,,,,307,307,,,
55,1,Catahoula Leopard Dog,,,,,307,0,,,
56,1,Cattle Dog,,,,,265,0,,,
57,1,Caucasian Sheepdog (Caucasian Ovtcharka),,,,,266,0,,,
58,1,Cavalier King Charles Spaniel,,,,,307,0,,,
59,1,Chesapeake Bay Retriever,,,,,307,0,,,
60,1,Chihuahua,,,,,243,0,,,
61,1,Chinese Crested Dog,,,,,266,0,,,
62,1,Chinese Foo Dog,,,,,307,0,,,
63,1,Chinook,,,,,307,0,,,
64,1,Chocolate Labrador Retriever,,,,,307,0,,,
65,1,Chow Chow,,,,,213,307,,,
66,1,Cirneco dell'Etna,,,,,205,0,,,
67,1,Clumber Spaniel,,,,,266,0,,,
68,1,Cockapoo,,,,,266,0,,,
69,1,Cocker Spaniel,,,,,266,0,,,
70,1,Collie,,,,,307,0,,,
71,1,Coonhound,,,,,307,0,,,
72,1,Corgi,,,,,307,307,,,
73,1,Coton de Tulear,,,,,141,128,,,
74,1,Curly-Coated Retriever,,,,,307,0,,,
75,1,Dachshund,,,,,173,96,,,
76,1,Dalmatian,,,,,307,0,,,
77,1,Dandi Dinmont Terrier,,,,,307,0,,,
78,1,Doberman Pinscher,,,,,307,0,,,
79,1,Dogo Argentino,,,,,307,307,,,
80,1,Dogue de Bordeaux,,,,,307,0,,,
81,1,Dutch Shepherd,,,,,307,0,,,
82,1,English Bulldog,,,,,207,0,,,
83,1,English Cocker Spaniel,,,,,307,0,,,
84,1,English Coonhound,,,,,307,141,,,
85,1,English Pointer,,,,,265,0,,,
86,1,English Setter,,,,,307,0,,,
87,1,English Shepherd,,,,,250,285,,,
